unique.id,cited.species,gender,considered.species,country,admin2,admin3,locality,col.start.year,col.finish.year,1.year.monthly?,lon_orig,lat_orig,mun_geocod,mun_lon,mun_lat,area.mun.km,lon_dec,lat_dec,coord.prec,loc_type_wieczorek,fonte das coordenadas,ref,obs,n
52,L. longipalpis,,L_longipalpis,Argentina,Formosa,Clorinda,,2007,,0,57º43’00.2”,25º16’36.4,,,,,-57.716728,-25.276869,1,coordinates,Cited in ref,Salomón et al. 2009b,Precise coordinates given in table,
53,L. neivai,,L_neivai,Argentina,Formosa,Clorinda,,2007,,,57º43’44.9”,25º16’23.0”,,,,,-57.729139,-25.273056,1,coordinates,Cited in ref,Salomón et al. 2009b,Precise coordinates given in table,
54,L. neivai,,L_neivai,Argentina,Formosa,Clorinda,,2007,,,57º43’25.1”,25º16’36.0”,,,,,-57.723639,-25.276667,1,coordinates,Cited in ref,Salomón et al. 2009b,Precise coordinates given in table,
55,L. neivai,,L_neivai,Argentina,Formosa,Clorinda city,,2004,,,57º43’W,25º17’S,,,,,-57.725,-25.2916,2,,,Salomón & Orellano 2005,,
56,L. migonei,,L_migonei,Argentina,Formosa,El Coatí,,NA (before 1978),NA (before 1978),0,,,,,,,NA,NA,NA,,NA,Martins et al. 1978,"Could not find ""El Coatí"" in Formosa, Argentina",
57,L. migonei,,L_migonei,Argentina,Formosa,Laguna Blanca,,2007,,0,58º14’26”,25º08’26”,,,,,-58.240556,-25.140556,1,coordinates,Cited in ref,Salomón et al. 2008b,Precise coordinates given in table,
58,L. migonei,,L_migonei,Argentina,Formosa,Laguna Blanca,,2007,,0,58º14’35.9”,25º08’26.0”,,,,,-58.243306,-25.140556,1,coordinates,Cited in ref,Salomón et al. 2009b,Precise coordinates given in table,
59,L. neivai,,L_neivai,Argentina,Formosa,Laguna Blanca,,2007,,,58º14’26”,25º08’26”,,,,,-58.240556,-25.140556,1,coordinates,Cited in ref,Salomón et al. 2008b,Precise coordinates given in table,
60,L. neivai,,L_neivai,Argentina,Formosa,Laguna Blanca,,2007,,,58º14’35.9”,25º08’26.0”,,,,,-58.243306,-25.140556,1,coordinates,Cited in ref,Salomón et al. 2009b,Precise coordinates given in table,
61,L. neivai,,L_neivai,Argentina,Formosa,Laguna Blanca,,2007,,,58º14’19.1”,25º08’01.7”,,,,,-58.238639,-25.133806,1,coordinates,Cited in ref,Salomón et al. 2009b,Precise coordinates given in table,
