unique.id,cited.species,gender,considered.species,country,admin2,admin3,locality,col.start.year,col.finish.year,1.year.monthly?,lon_orig,lat_orig,mun_geocod,mun_lon,mun_lat,area.mun.km,lon_dec,lat_dec,coord.prec,loc_type_wieczorek,fonte das coordenadas,ref,obs,n
1444,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Chapadinha,Comunidade Buritizinho,2015,,,43º15’13’’W,3º50’40’’S,2103208,-43.361121,-3.740025,3247.385,-43.2536,-3.8444,1,coordinates,Cited in ref,Silva et al. 2015,,
1445,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Chapadinha,Comunidade Buritizinho,2015,,,43º15’13’’W,3º50’40’’S,2103208,-43.361121,-3.740025,3247.385,-43.2536,-3.8444,1,coordinates,Cited in ref,Silva et al. 2015,,
1446,L. whitmani,,L_whitmani,Brazil,Maranhão,Chapadinha,Comunidade Buritizinho,2015,,,43º15’13’’W,3º50’40’’S,2103208,-43.361121,-3.740025,3247.385,-43.2536,-3.8444,1,coordinates,Cited in ref,Silva et al. 2015,,
1447,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Chapadinha,Comunidade Riacho Seco,2013,,,43°12’44’’W,3º45’46’’S,2103208,-43.361121,-3.740025,3247.385,-43.2122,-3.76277,1,coordinates,Cited in ref,Silva et al. 2015,,
1448,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Chapadinha,Comunidade Riacho Seco,2013,,,43°12’44’’W,3º45’46’’S,2103208,-43.361121,-3.740025,3247.385,-43.2122,-3.76277,1,coordinates,Cited in ref,Silva et al. 2015,,
1449,L. whitmani,,L_whitmani,Brazil,Maranhão,Chapadinha,Comunidade Riacho Seco,2013,,,43°12’44’’W,3º45’46’’S,2103208,-43.361121,-3.740025,3247.385,-43.2122,-3.76277,1,coordinates,Cited in ref,Silva et al. 2015,,
1450,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Chapadinha,"Fragmento florestal no Reservatório Itamacaoca, pertencente à Companhia de Águas e Esgoto do Estado do Maranhão. Ponto de coleta situado a 926 m da entrada do reservatório, adjacente a uma nascente do lago do reservatório.",2007,2008,,,,2103208,-43.361121,-3.740025,3247.385,-43.327098,-3.739593,2,,Google Earth,Silva et al. 2010b,sazonalidade,
1451,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Chapadinha,"Fragmento florestal no Reservatório Itamacaoca, pertencente à Companhia de Águas e Esgoto do Estado do Maranhão. Ponto de coleta situado a 926 m da entrada do reservatório, adjacente a uma nascente do lago do reservatório.",2007,,,,,2103208,-43.361121,-3.740025,3247.385,-43.327098,-3.739593,2,,,Silva et al. 2010b,,
1452,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Chapadinha,"Fragmento florestal no Reservatório Itamacaoca, pertencente à Companhia de Águas e Esgoto do Estado do Maranhão. Ponto de coleta situado a 926 m da entrada do reservatório, adjacente a uma nascente do lago do reservatório.",2007,,,,,2103208,-43.361121,-3.740025,3247.385,-43.327098,-3.739593,2,,,Silva et al. 2010b,,
1453,L. whitmani,,L_whitmani,Brazil,Maranhão,Chapadinha,"Fragmento florestal no Reservatório Itamacaoca, pertencente à Companhia de Águas e Esgoto do Estado do Maranhão. Ponto de coleta situado a 926 m da entrada do reservatório, adjacente a uma nascente do lago do reservatório.",2007,,,,,2103208,-43.361121,-3.740025,3247.385,-43.327098,-3.739593,2,,,Silva et al. 2010b,,
1454,L. whitmani,,L_whitmani,Brazil,Maranhão,Cidelândia,,1992,2005,,,,2103257,-47.784233,-5.177421,1464.034,-47.784233,-5.177421,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1455,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Codó,,1996,,,,,2103307,-43.88608,-4.451338,4361.34,-43.88608,-4.451338,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 1999,,
1456,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Codó,,2007,,,,,2103307,-43.88608,-4.451338,4361.34,-43.88608,-4.451338,3,,IBGE 2015 (Municipality admin center),Silva et al. 2011,,
1457,L. whitmani,,L_whitmani,Brazil,Maranhão,Codó,,1996,,,,,2103307,-43.88608,-4.451338,4361.34,-43.88608,-4.451338,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 1999,,
1458,L. whitmani,,L_whitmani,Brazil,Maranhão,Codó,,1992,2005,,,,2103307,-43.88608,-4.451338,4361.34,-43.88608,-4.451338,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1459,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Coelho Neto,,1996,,,,,2103406,-43.014014,-4.254738,975.549,-43.014014,-4.254738,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 1999,,
1460,L. whitmani,,L_whitmani,Brazil,Maranhão,Coelho Neto,,1996,,,,,2103406,-43.014014,-4.254738,975.549,-43.014014,-4.254738,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 1999,,
1461,L. whitmani,,L_whitmani,Brazil,Maranhão,Coelho Neto,,1992,2005,,,,2103406,-43.014014,-4.254738,975.549,-43.014014,-4.254738,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1462,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Cururupu,?,,,,,,2103703,-44.867762,-1.825521,1093.062,-44.867762,-1.825521,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 1996,Revisão - lista de espécies do estado,
1463,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Cururupu,Vera Cruz,1962,1962,0,,,2103703,-44.867762,-1.825521,1093.062,-44.867762,-1.825521,3,,IBGE 2015 (Municipality admin center),Collection data: CPqRR (speciesLink),,
1464,L. flaviscutellata,F,L_flaviscutellata,Brazil,Maranhão,Cururupu,Vera Cruz e Vera Cruz (parte de cima),1962,1962,0,,,2103703,-44.867762,-1.825521,1093.062,-44.867762,-1.825521,3,,IBGE 2015 (Municipality admin center),Collection data: CPqRR,"CPqRR 933, 936",
1465,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Cururupu,,NA (before 1978),NA (before 1978),0,,,2103703,-44.867762,-1.825521,1093.062,-44.867762,-1.825521,3,,IBGE 2015 (Municipality admin center),Martins et al. 1978,Ref. From distribution list,
1466,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Cururupu,,NA (before 1978),NA (before 1978),0,,,2103703,-44.867762,-1.825521,1093.062,-44.867762,-1.825521,3,,IBGE 2015 (Municipality admin center),Martins et al. 1978,,
1467,L. whitmani,,L_whitmani,Brazil,Maranhão,Davinópolis,,1992,2005,,,,2103752,-47.404996,-5.534456,335.77,-47.404996,-5.534456,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1468,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Dom Pedro,bairros periurbanos contíguos ao centro da cidade por meio de outros bairros,2000,,,44o 28´W,5o 9´S,2103802,-44.44001,-5.038448,358.493,-44.44001,-5.038448,3,,IBGE 2015 (Municipality admin center),Leonardo & Rebêlo 2004,,
1469,L. whitmani,,L_whitmani,Brazil,Maranhão,Dom Pedro,bairros periurbanos contíguos ao centro da cidade por meio de outros bairros,2000,,,44o 28´W,5o 9´S,2103802,-44.44001,-5.038448,358.493,-44.44001,-5.038448,3,,IBGE 2015 (Municipality admin center),Leonardo & Rebêlo 2004,,
1470,L. whitmani,,L_whitmani,Brazil,Maranhão,Dom Pedro,,1992,2005,,,,2103802,-44.44001,-5.038448,358.493,-44.44001,-5.038448,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1471,L. whitmani,,L_whitmani,Brazil,Maranhão,Formosa da Serra Negra,,1992,2005,,,,2104099,-46.186357,-6.435304,3690.61,-46.186357,-6.435304,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1472,L. whitmani,,L_whitmani,Brazil,Maranhão,Governador Edison Lobão,,1992,2005,,,,2104552,-47.368936,-5.747412,615.858,-47.368936,-5.747412,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1473,L. whitmani,,L_whitmani,Brazil,Maranhão,Grajaú,,1992,2005,,,,2104800,-46.142396,-5.818548,8863.57,-46.142396,-5.818548,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1474,L. wellcomei,NA,L_wellcomei,Brazil,Maranhão,Icatu,Girimico,2010,,,,,2105104,-44.065848,-2.774828,1448.778,-43.9726,-2.7464,2,,,Moraes et al. 2015,,
1475,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Icatu,,2010,,,44°01’ W,2°44’ S,2105104,-44.065848,-2.774828,1448.778,-44.065848,-2.774828,3,,IBGE 2015 (Municipality admin center),Moraes et al. 2015,,
1476,L. migonei,,L_migonei,Brazil,Maranhão,Icatu,,2010,,,44°01’ W,2°44’ S,2105104,-44.065848,-2.774828,1448.778,-44.065848,-2.774828,3,,IBGE 2015 (Municipality admin center),Moraes et al. 2015,,
1477,L. whitmani,,L_whitmani,Brazil,Maranhão,Icatu,,2010,,,44°01’ W,2°44’ S,2105104,-44.065848,-2.774828,1448.778,-44.065848,-2.774828,3,,IBGE 2015 (Municipality admin center),Moraes et al. 2015,,
1478,L. whitmani,,L_whitmani,Brazil,Maranhão,Icatu,,1992,2005,,,,2105104,-44.065848,-2.774828,1448.778,-44.065848,-2.774828,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1479,L. whitmani,,L_whitmani,Brazil,Maranhão,Imperatriz,,1992,2005,,,,2105302,-47.479811,-5.526524,1368.987,-47.479811,-5.526524,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1480,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Itapecuru Mirim,Área rural,2009,,,44°20'W,3°28'S,2105401,-44.354263,-3.399045,1471.438,-44.349219,-3.472614,1,coordinates,Cited in ref,Campos et al. 2013,,
1481,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Itapecuru Mirim,Área rural,2009,,,44°20'W,3°28'S,2105401,-44.354263,-3.399045,1471.438,-44.349219,-3.472614,1,coordinates,Cited in ref,Campos et al. 2013,,
1482,L. wellcomei,MF,L_wellcomei,Brazil,Maranhão,Itapecuru Mirim,Área rural,2009,,,,,2105401,-44.354263,-3.399045,1471.438,-44.349219,-3.472614,1,coordinates,Cited in ref,Campos et al. 2013,,
1483,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Itapecuru Mirim,Fragmentos florestais,2009,,,44°22'W,3°28'S,2105401,-44.354263,-3.399045,1471.438,-44.380519,-3.480329,1,coordinates,Cited in ref,Campos et al. 2013,,
1484,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Itapecuru Mirim,Fragmentos florestais,2009,,,44°22'W,3°28'S,2105401,-44.354263,-3.399045,1471.438,-44.380519,-3.480329,1,coordinates,Cited in ref,Campos et al. 2013,,
1485,L. wellcomei,MF,L_wellcomei,Brazil,Maranhão,Itapecuru Mirim,Fragmentos florestais,2009,,,,,2105401,-44.354263,-3.399045,1471.438,-44.380519,-3.480329,1,coordinates,Cited in ref,Campos et al. 2013,,
1486,L. whitmani,,L_whitmani,Brazil,Maranhão,Itapecuru Mirim,Fragmentos florestais,2009,,,44°22'W,3°28'S,2105401,-44.354263,-3.399045,1471.438,-44.380519,-3.480329,1,coordinates,Cited in ref,Campos et al. 2013,,
1487,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Itapecuru Mirim,Imagem de satélite no artigo,2009,2010,,44°22'W,3°28'S,2105401,-44.354263,-3.399045,1471.438,-44.380519,-3.480329,1,coordinates,Cited in ref/Google Earth,Campos et al. 2013,mapa e imagem de satélite com pontos de coleta,
1488,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Itapecuru Mirim,Imagem de satélite no artigo,2009,2010,,44°20'W,3°28'S,2105401,-44.354263,-3.399045,1471.438,-44.349219,-3.472614,1,coordinates,Cited in ref/Google Earth,Campos et al. 2013,mapa e imagem de satélite com pontos de coleta,
1489,L. whitmani,,L_whitmani,Brazil,Maranhão,João Lisboa,,1992,2005,,,,2105500,-47.405036,-5.453663,1135.211,-47.405036,-5.453663,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1490,L. whitmani,,L_whitmani,Brazil,Maranhão,Lajeado Novo,,1992,2005,,,,2105989,-47.032448,-6.191609,1047.733,-47.032448,-6.191609,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1491,L. whitmani,,L_whitmani,Brazil,Maranhão,Montes Altos,,1992,2005,,,,2107001,-47.07044,-5.828563,1488.336,-47.07044,-5.828563,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1492,L. wellcomei,NA,L_wellcomei,Brazil,Maranhão,Morros,Alegria,2010,,,,,2107100,-44.044545,-2.861479,1715.17,-44.0067,-2.9021,2,,,Moraes et al. 2015,,
1493,L. wellcomei,NA,L_wellcomei,Brazil,Maranhão,Morros,Santana,2010,,,,,2107100,-44.044545,-2.861479,1715.17,-44.0296,-2.75028,2,,,Moraes et al. 2015,,
1494,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Morros,,2010,,,44°03’ W,02°53’ S,2107100,-44.044545,-2.861479,1715.17,-44.044545,-2.861479,3,,IBGE 2015 (Municipality admin center),Moraes et al. 2015,,
1495,L. migonei,,L_migonei,Brazil,Maranhão,Morros,,2010,,,44°03’ W,02°53’ S,2107100,-44.044545,-2.861479,1715.17,-44.044545,-2.861479,3,,IBGE 2015 (Municipality admin center),Moraes et al. 2015,,
1496,L. whitmani,,L_whitmani,Brazil,Maranhão,Morros,,2010,,,44°03’ W,02°53’ S,2107100,-44.044545,-2.861479,1715.17,-44.044545,-2.861479,3,,IBGE 2015 (Municipality admin center),Moraes et al. 2015,,
1497,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Paço do Lumiar,"Capoeira das Mercês, na periferia de uma capoeira de 68 hectarees",1997,1998,,,,2107506,-44.098692,-2.528063,122.828,-44.098692,-2.528063,3,,IBGE 2015 (Municipality admin center),Barros et al. 2000,sazonalidade e frequencia horaria,
1498,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Paço do Lumiar,"Capoeira das Mercês, na periferia de uma capoeira de 68 hectarees",1997,,,,,2107506,-44.098692,-2.528063,122.828,-44.098692,-2.528063,3,,IBGE 2015 (Municipality admin center),Barros et al. 2000,,
1499,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Paço do Lumiar,"Capoeira das Mercês, na periferia de uma capoeira de 68 hectarees",1997,,,,,2107506,-44.098692,-2.528063,122.828,-44.098692,-2.528063,3,,IBGE 2015 (Municipality admin center),Barros et al. 2000,,
1500,L. umbratilis,,L_umbratilis,Brazil,Maranhão,Paço do Lumiar,"Capoeira das Mercês, na periferia de uma capoeira de 68 hectarees",1997,,,,,2107506,-44.098692,-2.528063,122.828,-44.098692,-2.528063,3,,IBGE 2015 (Municipality admin center),Barros et al. 2000,,
1501,L. whitmani,,L_whitmani,Brazil,Maranhão,Paço do Lumiar,"Capoeira das Mercês, na periferia de uma capoeira de 68 hectarees",1997,,,,,2107506,-44.098692,-2.528063,122.828,-44.098692,-2.528063,3,,IBGE 2015 (Municipality admin center),Barros et al. 2000,,
1502,L. flaviscutellata,F,L_flaviscutellata,Brazil,Maranhão,Paço do Lumiar,Cidade,1962,1962,0,,,2107506,-44.098692,-2.528063,122.828,-44.098692,-2.528063,3,,IBGE 2015 (Municipality admin center),Collection data: CPqRR,CPqRR 930,
1503,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Paço do Lumiar,Paço do Lumiar,1962,1962,0,,,2107506,-44.098692,-2.528063,122.828,-44.098692,-2.528063,3,,IBGE 2015 (Municipality admin center),Collection data: CPqRR (speciesLink),,
1504,L. whitmani,,L_whitmani,Brazil,Maranhão,Paço do Lumiar,Paço do Lumiar,1962,1962,0,,,2107506,-44.098692,-2.528063,122.828,-44.098692,-2.528063,3,,IBGE 2015 (Municipality admin center),Collection data: CPqRR (speciesLink),,
1505,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Paço do Lumiar,,NA (before 1978),NA (before 1978),0,,,2107506,-44.098692,-2.528063,122.828,-44.098692,-2.528063,3,,IBGE 2015 (Municipality admin center),Martins et al. 1978,Ref. From distribution list,
1506,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Paço do Lumiar,,NA (before 1978),NA (before 1978),0,,,2107506,-44.098692,-2.528063,122.828,-44.098692,-2.528063,3,,IBGE 2015 (Municipality admin center),Martins et al. 1978,,
1507,L. whitmani,,L_whitmani,Brazil,Maranhão,Paço do Lumiar,,NA (before 1978),NA (before 1978),0,,,2107506,-44.098692,-2.528063,122.828,-44.098692,-2.528063,3,,IBGE 2015 (Municipality admin center),Martins et al. 1978,,
1508,L. whitmani,,L_whitmani,Brazil,Maranhão,Paço do Lumiar,,1992,2005,,,,2107506,-44.098692,-2.528063,122.828,-44.098692,-2.528063,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1509,L. whitmani,,L_whitmani,Brazil,Maranhão,Poção de Pedras,,1992,2005,,,,2108900,-44.951551,-4.750025,990.413,-44.951551,-4.750025,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1510,L. whitmani,,L_whitmani,Brazil,Maranhão,Porto Franco,,1992,2005,,,,2109007,-47.382165,-6.354182,1417.493,-47.382165,-6.354182,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1511,L. whitmani,,L_whitmani,Brazil,Maranhão,Primeira Cruz,,1992,2005,,,,2109403,-43.442443,-2.510583,1367.676,-43.442443,-2.510583,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1512,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Raposa,Vila Bom Viver,1999,,,,,2109452,-44.102516,-2.415075,66.28,-44.1043,-2.4469,2,,,Dias et al. 2013,,
1513,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Raposa,"Vila Maresia, Vila Marisol e Vila Pantoja",2007,2008,,,,2109452,-44.102516,-2.415075,66.28,-44.102516,-2.415075,3,,IBGE 2015 (Municipality admin center),Felipe et al. 2011,,
1514,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Raposa,"Vila Maresia, Vila Marisol e Vila Pantoja",2007,,,,,2109452,-44.102516,-2.415075,66.28,-44.102516,-2.415075,3,,IBGE 2015 (Municipality admin center),Felipe et al. 2011,,
1515,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Raposa,"Vila Maresia, Vila Marisol e Vila Pantoja",2007,,,,,2109452,-44.102516,-2.415075,66.28,-44.102516,-2.415075,3,,IBGE 2015 (Municipality admin center),Felipe et al. 2011,,
1516,L. wellcomei,NA,L_wellcomei,Brazil,Maranhão,Raposa,"Vila Maresia, Vila Marisol e Vila Pantoja",2007,,,,,2109452,-44.102516,-2.415075,66.28,-44.102516,-2.415075,3,,IBGE 2015 (Municipality admin center),Felipe et al. 2011,,
1517,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Raposa,,1996,,,,,2109452,-44.102516,-2.415075,66.28,-44.102516,-2.415075,3,,IBGE 2015 (Municipality admin center),Rebelo 2001,,
1518,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Raposa,,2007,,,,,2109452,-44.102516,-2.415075,66.28,-44.102516,-2.415075,3,,IBGE 2015 (Municipality admin center),Silva et al. 2011,,
1519,L. whitmani,,L_whitmani,Brazil,Maranhão,Raposa,,1992,2005,,,,2109452,-44.102516,-2.415075,66.28,-44.102516,-2.415075,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1520,L. whitmani,,L_whitmani,Brazil,Maranhão,Santa Quitéria do Maranhão,,1992,2005,,,,2110104,-42.562873,-3.498485,1434.898,-42.562873,-3.498485,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1521,L. whitmani,,L_whitmani,Brazil,Maranhão,Santa Rita,,1992,2005,,,,2110203,-44.319948,-3.134117,706.385,-44.319948,-3.134117,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1522,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,Santo Amaro do Maranhão,Riachão,2012,,,,,2110278,-43.255285,-2.502721,1601.18,-43.126303,-2.824076,1,coordinates,Cited in ref,Filho et al. 2015,,
1523,L. longipalpis,,L_longipalpis,Brazil,Maranhão,Santo Amaro do Maranhão,Riachão,2012,,,,,2110278,-43.255285,-2.502721,1601.18,-43.126303,-2.824076,1,coordinates,Cited in ref,Filho et al. 2015,,
1524,L. wellcomei,MF,L_wellcomei,Brazil,Maranhão,Santo Amaro do Maranhão,Riachão,2012,,,,,2110278,-43.255285,-2.502721,1601.18,-43.126303,-2.824076,1,coordinates,Cited in ref,Filho et al. 2015,,
1525,L. whitmani,,L_whitmani,Brazil,Maranhão,Santo Amaro do Maranhão,Riachão,2012,,,,,2110278,-43.255285,-2.502721,1601.18,-43.126303,-2.824076,1,coordinates,Cited in ref,Filho et al. 2015,,
1526,L. intermedia,,L_intermedia,Brazil,Maranhão,Santo Amaro do Maranhão,,2012,,,43°15′W,2°30′S,2110278,-43.255285,-2.502721,1601.18,-43.2583,-2.50831,2,,,Filho et al. 2015,"Rural dwelling named Riachão, vicinity of Lençóis Maranhenses National Park",
1527,L. whitmani,,L_whitmani,Brazil,Maranhão,Santo Amaro do Maranhão,,1992,2005,,,,2110278,-43.255285,-2.502721,1601.18,-43.255285,-2.502721,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1528,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,São José de Ribamar,"Fazenda Merck, área sudeste da ilha de São Luís",NA (before 2009),NA (before 2009),0,44°8'53''W,2°38'60''S,2111201,-44.057548,-2.555859,388.371,-44.126909,-2.653062,2,,Google Earth,Azevedo et al. 2011,imagem de satelite dos locais de coleta,
1529,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,São José de Ribamar,"Fazenda Merck, área sudeste da ilha de São Luís",NA (before 2009),NA (before 2009),0,44°8'53''W,2°38'60''S,2111201,-44.057548,-2.555859,388.371,-44.144503,-2.64667,2,,Cited in ref/Google Earth,Azevedo et al. 2011,imagem de satelite dos locais de coleta,
1530,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,São José de Ribamar,"Fazenda Merck, área sudeste da ilha de São Luís",NA (before 2009),NA (before 2009),0,44°8'53''W,2°38'60''S,2111201,-44.057548,-2.555859,388.371,-44.144503,-2.64667,2,,,Azevedo et al. 2011,,
1531,L. longipalpis,,L_longipalpis,Brazil,Maranhão,São José de Ribamar,"Fazenda Merck, área sudeste da ilha de São Luís",NA (before 2009),NA (before 2009),0,44°8'53''W,2°38'60''S,2111201,-44.057548,-2.555859,388.371,-44.144503,-2.64667,2,,,Azevedo et al. 2011,,
1532,L. wellcomei,MF,L_wellcomei,Brazil,Maranhão,São José de Ribamar,"Fazenda Merck, área sudeste da ilha de São Luís",NA,NA,0,,,2111201,-44.057548,-2.555859,388.371,-44.144503,-2.64667,2,,,Azevedo et al. 2011,,
1533,L. flaviscutellata,F,L_flaviscutellata,Brazil,Maranhão,São José de Ribamar,"Povoado de Preçueira, área de loteamento constituída de ambiente modificado tipo capoeira e capoeirão",1997,,,44°7'W,2°33'S,2111201,-44.057548,-2.555859,388.371,-44.125,-2.558333,2,,Thesis of a co-author,Carvalho et al. 2000,,
1534,L. longipalpis,,L_longipalpis,Brazil,Maranhão,São José de Ribamar,,,,,,,2111201,-44.057548,-2.555859,388.371,-44.057548,-2.555859,3,,IBGE 2015 (Municipality admin center),Azevedo et al. 2000,,
1535,L. longipalpis,,L_longipalpis,Brazil,Maranhão,São José de Ribamar,,1996,,,,,2111201,-44.057548,-2.555859,388.371,-44.144503,-2.64667,2,,,Rebelo 2001,,
1536,L. whitmani,,L_whitmani,Brazil,Maranhão,São José de Ribamar,,1992,2005,,,,2111201,-44.057548,-2.555859,388.371,-44.057548,-2.555859,3,,IBGE 2015 (Municipality admin center),Rebelo et al. 2009,,
1537,L. longipalpis,,L_longipalpis,Brazil,Maranhão,São Luís,"Povoado Tirirical, São Luís. Rua Fé em Deus, 44, São Cristóvão",1982,1982,0,,,2111300,-44.297919,-2.531886,834.785,-44.22915,-2.57436,1,coordinates,Address,Collection data: IEC,,
1538,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,São Luís,"Reserva Florestal de Itaqui, periferia da área metropolitana de São Luís. Área de 3,5 km², pertencente à Companhia Vale do Rio Doce",2005,2006,,,,2111300,-44.297919,-2.531886,834.785,-44.339917,-2.593132,2,,Google Earth,Marinho et al. 2008,sazonalidade,
1539,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,São Luís,"Reserva Florestal de Itaqui, periferia da área metropolitana de São Luís. Área de 3,5 km², pertencente à Companhia Vale do Rio Doce",2005,,,,,2111300,-44.297919,-2.531886,834.785,-44.339917,-2.593132,2,,,Marinho et al. 2008,,
1540,L. longipalpis,,L_longipalpis,Brazil,Maranhão,São Luís,"Reserva Florestal de Itaqui, periferia da área metropolitana de São Luís. Área de 3,5 km², pertencente à Companhia Vale do Rio Doce",2005,,,,,2111300,-44.297919,-2.531886,834.785,-44.339917,-2.593132,2,,,Marinho et al. 2008,,
1541,L. whitmani,,L_whitmani,Brazil,Maranhão,São Luís,"Reserva Florestal de Itaqui, periferia da área metropolitana de São Luís. Área de 3,5 km², pertencente à Companhia Vale do Rio Doce",2005,,,,,2111300,-44.297919,-2.531886,834.785,-44.339917,-2.593132,2,,,Marinho et al. 2008,,
1542,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,São Luís,"Reserva Florestal de Sacavém, periferia da área metropolitana de São Luís. Área de 5,6 km², pertencente à Companhia de Água e Esgoto do Maranhão",2001,2002,,,,2111300,-44.297919,-2.531886,834.785,-44.249671,-2.566797,2,,Google Earth,Marinho et al. 2008,sazonalidade,
1543,L. flaviscutellata,,L_flaviscutellata,Brazil,Maranhão,São Luís,"Reserva Florestal de Sacavém, periferia da área metropolitana de São Luís. Área de 5,6 km², pertencente à Companhia de Água e Esgoto do Maranhão",2001,,,,,2111300,-44.297919,-2.531886,834.785,-44.249671,-2.566797,2,,,Marinho et al. 2008,,
1544,L. longipalpis,,L_longipalpis,Brazil,Maranhão,São Luís,"Reserva Florestal de Sacavém, periferia da área metropolitana de São Luís. Área de 5,6 km², pertencente à Companhia de Água e Esgoto do Maranhão",2001,,,,,2111300,-44.297919,-2.531886,834.785,-44.249671,-2.566797,2,,,Marinho et al. 2008,,
1545,L. whitmani,,L_whitmani,Brazil,Maranhão,São Luís,"Reserva Florestal de Sacavém, periferia da área metropolitana de São Luís. Área de 5,6 km², pertencente à Companhia de Água e Esgoto do Maranhão",2001,,,,,2111300,-44.297919,-2.531886,834.785,-44.249671,-2.566797,2,,,Marinho et al. 2008,,
1546,L. longipalpis,,L_longipalpis,Brazil,Maranhão,São Luís,Sacavém,1989,1989,0,,,2111300,-44.297919,-2.531886,834.785,-44.249671,-2.566797,2,,,Collection data: CPqRR (speciesLink),,
1547,L. whitmani,,L_whitmani,Brazil,Maranhão,São Luís,Sacavém,1989,1989,0,,,2111300,-44.297919,-2.531886,834.785,-44.249671,-2.566797,2,,,Collection data: CPqRR (speciesLink),,
1548,L. longipalpis,,L_longipalpis,Brazil,Maranhão,São Luís,São Luis,1983,1983,0,,,2111300,-44.297919,-2.531886,834.785,-44.297919,-2.531886,3,,IBGE 2015 (Municipality admin center),Collection data: IEC,,
