unique.id,cited.species,gender,considered.species,country,admin2,admin3,locality,col.start.year,col.finish.year,1.year.monthly?,lon_orig,lat_orig,mun_geocod,mun_lon,mun_lat,area.mun.km,lon_dec,lat_dec,coord.prec,loc_type_wieczorek,fonte das coordenadas,ref,year_of_pub,obs,n
91,L. migonei,,L_migonei,Argentina,Jujuy,La Esperanza,San Pedro,NA (before 1978),NA (before 1978),0,,,,,,,-64.83666,-24.22404,3,,,Martins et al. 1978,1978,,
92,L. migonei,,L_migonei,Argentina,Jujuy,La Esperanza,,NA (before 1978),NA (before 1978),0,,,,,,,-64.83666,-24.22404,3,,Google Earth,Martins et al. 1978,1978,,
93,L. migonei,,L_migonei,Argentina,Jujuy,Ledesma,,NA (before 1978),NA (before 1978),0,,,,,,,-64.79178,-23.8324,3,,Google Earth,Martins et al. 1978,1978,,
94,L. intermedia,,L_neivai,Argentina,Misiones,Andrecito,,1993,,,,,,,,,-54.049846,-25.675358,3,,,Salomón et al. 2002b,2002,Map with collection sites,
95,L. migonei,,L_migonei,Argentina,Misiones,Bernardo de Irigoyen,,NA (before 1978),NA (before 1978),0,,,,,,,-53.64748,-26.263,3,,Google Earth,Martins et al. 1978,1978,,
98,L. longipalpis,,L_longipalpis,Argentina,Misiones,Candelaria,,NA (before 1978),NA (before 1978),0,,,,,,,-55.803056,-27.461667,3,,Salomón et al. 2008c,Martins et al. 1978,1978,,
99,L. intermedia,,L_neivai,Argentina,Misiones,Candelaria,,1993,,,,,,,,,-55.803056,-27.461667,3,,Salomón et al. 2008c,Salomón et al. 2002b,2002,Map with collection sites,
100,L. whitmani,,L_whitmani,Argentina,Misiones,Candelaria,,NA (before 1978),NA (before 1978),0,,,,,,,-55.803056,-27.461667,3,,Salomón et al. 2008c,Martins et al. 1978,1978,,
101,L. intermedia,,L_neivai,Argentina,Misiones,Corpus,,1993,,,,,,,,,-55.5085,-27.12286,3,,,Salomón et al. 2002b,2002,Map with collection sites,
102,L. whitmani,,L_whitmani,Argentina,Misiones,Corpus,,1993,,0,,,,,,,-55.5085,-27.12286,3,,,Salomón et al. 2002b,2002,Map with collection sites,
105,L. migonei,,L_migonei,Argentina,Misiones,Iguazú,Foco 2: Esperanza,1998,,0,,,,,,,-54.6223,-26.0239,2,,,Salomón et al. 2006d,2006,"Satellite image with sites, coordinates taken from Google Earth",
106,L. neivai,,L_neivai,Argentina,Misiones,Iguazú,Foco 2: Esperanza,1998,,,,,,,,,-54.6223,-26.0239,2,,,Salomón et al. 2006d,2006,"Satellite image with sites, coordinates taken from Google Earth",
107,L. whitmani,,L_whitmani,Argentina,Misiones,Iguazú,Foco 2: Esperanza,1998,,0,,,,,,,-54.6223,-26.0239,2,,,Salomón et al. 2006d,2006,"Satellite image with sites, coordinates taken from Google Earth",
108,L. whitmani,,L_whitmani,Argentina,Misiones,Iguazú,,NA (before 1978),NA (before 1978),0,,,,,,,-54.6223,-26.0239,2,,,Martins et al. 1978,1978,,
109,L. whitmani,,L_whitmani,Argentina,Misiones,Iguazú-Cué,,NA (before 1978),NA (before 1978),0,,,,,,,-54.6223,-26.0239,2,,,Martins et al. 1978,1978,,
113,L. intermedia,,L_neivai,Argentina,Misiones,Mártires,,1993,,,,,,,,,-55.93059,-27.40543,3,,,Salomón et al. 2002b,2002,Map with collection sites,
114,L. intermedia,,L_neivai,Argentina,Misiones,Montecarlo,,1993,,,,,,,,,-54.7764,-26.5705,3,,,Salomón et al. 2002b,2002,Map with collection sites,
133,L. migonei,,L_migonei,Argentina,Misiones,Puerto Banberg,,NA (before 1978),NA (before 1978),0,,,,,,,NA,NA,NA,,NA,Martins et al. 1978,1978,Could not find locality,
160,L. whitmani,,L_whitmani,Argentina,Misiones,Puerto Peninsula,,NA (before 1978),NA (before 1978),0,,,,,,,-54.649082,-25.666995,3,,Google Earth,Martins et al. 1978,1978,,
161,L. intermedia,,L_neivai,Argentina,Misiones,Zaiman,,1993,,,,,,,,,-55.88521,-27.41961,3,,,Salomón et al. 2002b,2002,Map with collection sites,
162,L. migonei,,L_migonei,Argentina,Salta,Campamientos Tablillas,,NA (before 1978),NA (before 1978),0,,,,,,,-63.84787,-22.63378,3,,Google Earth,Martins et al. 1978,1978,,
163,L. neivai,,L_neivai,Argentina,Salta,El Oculto,,1999,,,,,,,,,-64.533,-23.1,2,,,Cordoba-Lanus et al. 2006,2006,,
164,L. migonei,,L_migonei,Argentina,Salta,Embarcacion,,NA (before 1978),NA (before 1978),0,,,,,,,-64.094,-23.2152,3,,,Martins et al. 1978,1978,,
165,L. migonei,,L_migonei,Argentina,Salta,Embarcacion,,1990,,1,,,,,,,-64.094,-23.2152,3,,,Salomón et al. 2004,2004,,
166,L. neivai,,L_neivai,Argentina,Salta,Embarcacion,,1990,,,,,,,,,-64.094,-23.2152,3,,,Salomón et al. 2004,2004,,
168,L. migonei,,L_migonei,Argentina,Salta,Mosconi,,1990,,1,,,,,,,-63.8049,-22.5989,3,,,Salomón et al. 2004,2004,,
169,L. neivai,,L_neivai,Argentina,Salta,Mosconi,,1990,,,,,,,,,-63.8049,-22.5989,3,,,Salomón et al. 2004,2004,,
170,L. migonei,,L_migonei,Argentina,Salta,Oran,,NA (before 1978),NA (before 1978),0,,,,,,,-64.3093,-23.1574,2,,Salomón et al. 2008a,Martins et al. 1978,1978,,
184,L. migonei,,L_migonei,Argentina,Salta,Pichanal,,1990,,1,,,,,,,-64.2254,-23.3279,3,,,Salomón et al. 2004,2004,,
185,L. neivai,,L_neivai,Argentina,Salta,Pichanal,,1990,,,,,,,,,-64.2254,-23.3279,3,,,Salomón et al. 2004,2004,,
187,L. migonei,,L_migonei,Argentina,Salta,Rosário de la Frontera,,NA (before 1978),NA (before 1978),0,,,,,,,-64.967651,-25.798649,3,,Google Earth,Martins et al. 1978,1978,,
188,L. migonei,,L_migonei,Argentina,Salta,Tabacal,,NA (before 1978),NA (before 1978),0,,,,,,,-64.24385,-23.25517,3,,Google Earth,Martins et al. 1978,1978,,
189,L. migonei,,L_migonei,Argentina,Salta,Tablillas,,NA (before 1978),NA (before 1978),0,,,,,,,-63.84787,-22.63378,3,,Google Earth,Martins et al. 1978,1978,,
196,L. migonei,,L_migonei,Argentina,Salta,Tres Pozos,,NA (before 1978),NA (before 1978),0,,,,,,,-63.58017,-22.5032,3,,Google Earth,Martins et al. 1978,1978,,
