"cv_0","pa","lon","lat","bio10_SA","bio13_SA","bio15_SA","bio2_SA","bio3_SA"
1,1,-45.083769,-21.877666,22.4206666946411,293,78.8100916048357,14.0366671085358,59.7304983341947
7,1,-44.358495,-16.689323,22.9460004170736,240,91.7766837493848,13.7766666412354,68.0934480143334
7,1,-43.942095,-19.536301,23.3839999834696,279,90.2015643713148,12.9603335062663,62.8410258003792
9,1,-44.53356,-17.96719,24.3846664428711,204,93.6083588410674,13.0743332703908,65.0334949813899
2,1,-45.026284,-19.719223,23.1699999173482,292,87.9521058005595,13.5316667556763,63.0435469362701
2,1,-46.875419,-17.219742,23.6120001475016,299,89.5975615674234,12.631000439326,65.2832371213875
8,1,-46.611413,-20.719212,22.8780001004537,292,78.5707321209633,11.5439999103546,58.3737887019101
6,1,-42.872625,-18.431738,22.3493331273397,290,84.4187010550859,11.577999830246,60.8343876683368
2,1,-46.417789,-18.414742,22.0813333193461,303,85.803288859138,10.5419998963674,66.5530290076738
5,1,-44.206233,-14.841686,24.6099999745687,216,97.4720682734215,12.4516669114431,73.0046106557855
2,1,-47.981,-19.059,23.0700000127157,305,85.2549022463395,11.6613334814707,66.3782613546662
9,1,-48.55977,-6.16476,25.7166665395101,286,67.6830955037769,11.8170000712077,81.3170961066873
3,1,-53.459722,-24.953798,22.0466666221619,209,23.5768627013267,12.0110000769297,58.6589158818703
5,1,-51.984464,-23.920695,23.5366665522257,202,37.382858839119,12.7799998124441,62.3658015107972
4,1,-53.4115,-23.894562,24.0340000788371,162,23.3420753287554,12.5536666711171,61.1896383974169
5,1,-53.742623,-26.015664,22.4933334986369,212,20.5758022182463,12.2810000578562,55.0915133623354
10,1,-51.027752,-22.852533,25.0373331705729,185,49.6004277446527,12.3203326861064,63.3110619833253
3,1,-49.633197,-23.753133,23.253999710083,172,43.2218211298436,12.4009999434153,61.930679428934
6,1,-53.222937,-22.825129,25.0166664123535,173,41.0092634084363,12.975333293279,64.1327287456563
4,1,-50.264,-24.56045,20.4140000343323,178,27.6839253468271,12.3646667400996,59.5027294644858
5,1,-53.802814,-27.674493,23.5693333943685,193,10.1515478465031,13.3249999284744,54.5034346103219
10,1,-51.1013,-30.1443,23.4886665344238,141,9.97433340356936,9.16866691907247,49.5710815749576
6,1,-53.808675,-29.685582,24.7360000610352,154,5.76658506827247,10.3526666959127,49.619761359877
1,1,-48.675051,-26.769171,24.1463766098022,225,30.8731275864956,8.85144925117493,50.6804435084798
6,1,-52.72761,-26.740056,22.9333335558573,211,11.2393669843922,12.049667040507,56.2122904335324
9,1,-49.008432,-27.677209,19.474666595459,216,26.1567333081966,9.83066666126251,54.7120823554695
9,1,-48.40676,-23.483987,22.5700000127157,196,57.3814230336389,11.7190001010895,61.2022125661678
1,1,-50.439226,-21.205476,25.0006666183472,223,68.5375746618068,12.4383333524068,61.3693189647906
4,1,-51.926279,-21.569862,25.7426662445068,173,53.6243368727289,12.0653334458669,62.0134345899947
2,1,-47.174376,-22.330076,23.1213334401449,243,74.3303054603944,12.1166667143504,61.8071111422451
10,1,-48.6457,-24.5711,24.0346663792928,196,38.7669947135917,9.93599987030029,53.929659682044
3,1,-47.4597,-24.2825,25.2506666183472,251,44.8992526044591,9.28833349545797,55.2613857120391
6,1,-47.000968,-23.397523,21.3533333142598,232,62.0487501294741,10.0066667397817,60.7790713870917
1,1,-48.070841,-21.586944,23.6579999923706,241,75.7235992039188,11.5650000572205,61.4636514283701
4,1,-45.556609,-23.026556,23.3959999084473,222,69.2752206817174,11.2700000603994,60.6827531351986
2,1,-52.1839,-22.6216,24.8693332672119,162,42.5877100166708,12.1560000578562,62.6468763193768
6,1,-54.9043,-24.8264,24.9746662775675,194,21.425092159112,11.5130000114441,53.8796330728254
4,1,-56.0503,-25.4869,25.7580000559489,192,25.7175707352561,10.7983329296112,53.0578484184479
8,0,-54.3541666666667,-2.60416666666666,26.2833334604899,336,68.9307334356957,9.22266658147176,81.9938410790267
2,0,-51.8541666666667,-11.7708333333333,26.6500002543132,296,80.7022344488112,14.6136671702067,79.2498278662553
5,0,-38.4791666666667,-12.0625,24.7793334325155,158,34.6937355064269,8.21333281199137,63.3744860509423
6,0,-49.3541666666667,-18.8541666666667,23.8693332672119,276,78.9647510096898,12.6906669139862,66.6246676308884
5,0,-41.4375,-10.5208333333333,22.1053334871928,100,79.6579159155555,12.1900000572205,76.7632239884882
3,0,-50.8541666666667,-23.1458333333333,24.5226669311523,181,42.8641731597818,12.4476664861043,63.9391114787513
10,0,-52.7708333333333,-11.8125,26.140666325887,304,80.3614561955739,15.1276667118073,75.8811464832808
7,0,-55.6875,-9.31249999999999,27.0933338801066,340,70.1166068403414,11.4210003217061,78.4840488511171
10,0,-64.0208333333333,-26.8958333333333,26.7326669692993,129,89.5501652799339,12.7253331343333,47.1588090616259
5,0,-61.1875,-16.1041666666667,26.8586667378743,188,66.7242361769314,11.5723338921865,69.0968103177979
1,0,-43.7708333333333,-11.6875,26.5026658376058,157,90.6232071591978,14.414666891098,79.6918766805491
9,0,-67.1875,-27.1458333333333,11.263333161672,35,108.25999650425,13.9379997178912,58.6122775227829
7,0,-49.4791666666667,-25.7708333333333,20.3633332252502,162,28.3478176869732,10.5619996786118,56.4209405236304
10,0,-58.1458333333333,-6.89583333333333,26.2426668802897,339,62.2861349668457,10.7370001475016,86.8689289425223
6,0,-58.8541666666667,-8.52083333333333,26.2519998550415,314,68.0807738792442,11.4449996948242,85.9750560297977
6,0,-54.7708333333333,-32.3958333333333,23.1853332519531,122,7.20411625935143,11.0429995854696,46.9994888382368
9,0,-41.9791666666667,-18.9375,26.3826665878296,210,77.0229852919709,11.8176666895548,65.3487443534013
9,0,-62.9791666666667,-33.4375,23.2019996643066,126,57.5371755446061,12.5316667755445,45.3520089525466
1,0,-70.2708333333333,-28.2708333333333,14.0079998970032,7,76.3222640338332,12.9649998756746,62.5241139824626
1,0,-55.6875,-27.2291666666667,25.6920000712077,185,16.251133086629,11.3833333651225,51.8272309294524
1,0,-68.7291666666667,-17.6875,9.17266653974851,114,111.356133852453,20.8436666578054,77.9144228439896
4,0,-47.8958333333333,-17.1041666666667,22.9066667556763,307,85.8627870813208,12.2370000680288,65.7196604188533
10,0,-56.6458333333333,-19.6458333333333,27.5340000788371,205,56.3911880713765,10.5346666971842,59.9650855042524
