"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","species_name","algorithm","run","partition","presencenb","absencenb","correlation","pvaluecor","AUC","AUC_pval","AUCratio","pROC","pROC_pval","TSSmax","KAPPAmax","dismo_threshold","prevalence.value","PPP","NPP","TPR","TNR","FPR","FNR","CCR","Kappa","F_score","Jaccard"
"1",0.59579041,0.35606438,-1e-04,0.0889411,0.17798219,0.02044795,"L_longipalpis","bioclim",1,1,36,364,0.0280793653392505,0.575520202201063,0.516369047619048,NA,1.0327380952381,1.07211918336892,0,0.0918803418803418,0.0884072927416583,"spec_sens",0.09,0.117117117117117,0.920415224913495,0.361111111111111,0.730769230769231,0.269230769230769,0.638888888888889,0.6975,0.0473941111635963,0.17687074829932,0.0970149253731343
"2",0.70119905,0.09388708,-0.87321365,0.09056863,0.01206114,-0.53402581,"L_longipalpis","brt",1,1,36,364,0.0954178319401845,0.0565546629417734,0.596077533577534,NA,1.19215506715507,1.09312651920619,0,0.187118437118437,0.110642146517938,"spec_sens",0.09,0.132867132867133,0.933852140077821,0.527777777777778,0.659340659340659,0.340659340659341,0.472222222222222,0.6475,0.0799947801122277,0.212290502793296,0.11875
"3",0.10753186,0.09952462,0.04410432,0.0899678,0.09646036,0.06091966,"L_longipalpis","glm",1,1,36,364,0.0494383191744302,0.323998065268922,0.569520757020757,NA,1.13904151404151,1.06712131541084,0,0.179181929181929,0.0829164771865996,"spec_sens",0.09,0.127388535031847,0.934156378600823,0.555555555555556,0.623626373626374,0.376373626373626,0.444444444444444,0.6175,0.0712638096394318,0.207253886010363,0.115606936416185
"4",0.57309289,0.47800397,0.31559248,0.09943221,0.60040684,0.48370885,"L_longipalpis","maxent",1,1,36,364,0.163820229811563,0.00100760839139801,0.662393162393162,NA,1.32478632478632,1.175746742201,0,0.348290598290598,0.112688553682342,"spec_sens",0.09,0.135458167330677,0.986577181208054,0.944444444444444,0.403846153846154,0.596153846153846,0.0555555555555556,0.4525,0.094367711520966,0.236933797909408,0.134387351778656
"5",0.47576667,0.47576667,0.0784,0.0902,0.48116667,0.21563333,"L_longipalpis","rf",1,1,36,364,0.114465505882812,0.0220400946124309,0.613171550671551,NA,1.2263431013431,1.07125538530936,0,0.26007326007326,0.0962494351558971,"spec_sens",0.09,0.13953488372093,0.947368421052632,0.666666666666667,0.593406593406593,0.406593406593407,0.333333333333333,0.6,0.0962494351558971,0.230769230769231,0.130434782608696
"6",0.0287822,0.02855818,0.02726234,0.09566218,0.02867347,0.02804245,"L_longipalpis","svmk",1,1,36,364,0.0386139743018513,0.44121097842559,0.6122557997558,NA,1.2245115995116,1.14002151259059,0,0.214590964590965,0.0869643825709637,"spec_sens",0.09,0.120171673819742,0.952095808383233,0.777777777777778,0.436813186813187,0.563186813186813,0.222222222222222,0.4675,0.0619219589535806,0.20817843866171,0.116182572614108
"7",0.3861069,0.26196897,0.0136931,0.08955517,0.28265862,0.08955517,"L_longipalpis","bioclim",1,2,37,364,0.075295256463526,0.132268323693625,0.587837837837838,NA,1.17567567567568,1.08495567192614,0,0.171072171072171,0.0708272186606933,"spec_sens",0.0922693266832918,0.122994652406417,0.934579439252336,0.621621621621622,0.549450549450549,0.450549450549451,0.378378378378378,0.556109725685786,0.0606427499802596,0.205357142857143,0.114427860696517
"8",0.45115683,-0.0326839,-1.00463062,0.09311143,0.09922003,-0.18864719,"L_longipalpis","brt",1,2,37,364,0.138524742891408,0.0054576099658328,0.646161271161271,NA,1.29232254232254,1.11149094034982,0,0.255420255420255,0.163566834694942,"spec_sens",0.0922693266832918,0.127572016460905,0.962025316455696,0.837837837837838,0.417582417582418,0.582417582417582,0.162162162162162,0.456359102244389,0.0729601900358438,0.221428571428571,0.124497991967871
"9",0.11984688,0.07472937,0.04122049,0.09225414,0.09279879,0.06628496,"L_longipalpis","glm",1,2,37,364,0.084422944007271,0.0913525319597729,0.586055836055836,NA,1.17211167211167,1.09180884243208,0,0.194535194535195,0.0889393771472905,"spec_sens",0.0922693266832918,0.115942028985507,0.96,0.864864864864865,0.32967032967033,0.67032967032967,0.135135135135135,0.379052369077307,0.0498624975021172,0.204472843450479,0.113879003558719
"10",0.78936275,0.61711683,0.34655653,0.10050762,0.64457639,0.47471468,"L_longipalpis","maxent",1,2,37,364,0.20475887989141,3.60643113575084e-05,0.716661716661717,NA,1.43332343332343,1.17966473917606,0,0.323136323136323,0.197165051653719,"spec_sens",0.0922693266832918,0.154285714285714,0.955752212389381,0.72972972972973,0.593406593406593,0.406593406593407,0.27027027027027,0.605985037406484,0.120784879686936,0.254716981132075,0.145945945945946
"11",0.54673333,0.54673333,0.20363333,0.09513333,0.54786667,0.36163333,"L_longipalpis","rf",1,2,37,364,0.198562479828291,6.2350488272307e-05,0.700846450846451,NA,1.4016929016929,1.17177303545239,0,0.381274131274131,0.166726192408844,"spec_sens",0.0922693266832918,0.181818181818182,0.957364341085271,0.702702702702703,0.678571428571429,0.321428571428571,0.297297297297297,0.680798004987531,0.166726192408844,0.288888888888889,0.168831168831169
"12",0.02886901,0.02807212,0.02234491,0.04274704,0.02863593,0.02811488,"L_longipalpis","svmk",1,2,37,364,0.030270182920705,0.545573604025359,0.603430353430353,NA,1.20686070686071,1.09455170238107,0,0.196391446391446,0.165051653719868,"spec_sens",0.0922693266832918,0.114478114478114,0.971153846153846,0.918918918918919,0.277472527472527,0.722527472527473,0.0810810810810811,0.336658354114713,0.0472507056343564,0.203592814371258,0.113333333333333
