"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","species_name","algorithm","run","partition","presencenb","absencenb","correlation","pvaluecor","AUC","AUC_pval","AUCratio","pROC","pROC_pval","TSSmax","KAPPAmax","dismo_threshold","prevalence.value","PPP","NPP","TPR","TNR","FPR","FNR","CCR","Kappa","F_score","Jaccard"
"1",0.58171818,0.14535455,-1e-04,0.07262727,0.03626364,0.03626364,"L_neivai","bioclim",1,1,6,61,0.381976410610936,0.00142443098318806,0.724043715846995,NA,1.44808743169399,1.78146441528063,0,0.401639344262295,0.4765625,"spec_sens",0.0895522388059701,0.333333333333333,0.948275862068966,0.5,0.901639344262295,0.0983606557377049,0.5,0.865671641791045,0.327759197324415,0.4,0.25
"2",1.62622918,-0.09291367,-0.09291367,-0.09291367,0.7338245,0.33422192,"L_neivai","brt",1,1,6,61,0.38812348062686,0.00117295463419608,0.87431693989071,NA,1.74863387978142,1.75640037030436,0,0.737704918032787,0.409171075837743,"spec_sens",0.0895522388059701,0.272727272727273,1,1,0.737704918032787,0.262295081967213,0,0.761194029850746,0.334987593052109,0.428571428571429,0.272727272727273
"3",0.23649362,0.09139741,0.09139741,0.09105304,0.11841511,0.09319777,"L_neivai","glm",1,1,6,61,0.398076538804068,0.00084960747517865,0.85792349726776,NA,1.71584699453552,1.58459656891738,0,0.672131147540984,0.569131832797428,"spec_sens",0.0895522388059701,0.230769230769231,1,1,0.672131147540984,0.327868852459016,0,0.701492537313433,0.268558951965066,0.375,0.230769230769231
"4",0.84097357,0.22976254,0.22976254,0.08609326,0.63162883,0.30021919,"L_neivai","maxent",1,1,6,61,0.457247283975823,0.000100283310844037,0.907103825136612,NA,1.81420765027322,1.79733452820108,0,0.721311475409836,0.522565320665083,"spec_sens",0.0895522388059701,0.260869565217391,1,1,0.721311475409836,0.278688524590164,0,0.746268656716418,0.316736652669466,0.413793103448276,0.260869565217391
"5",0.57243333,0.57243333,0.57243333,0.0854,0.64546667,0.63316667,"L_neivai","rf",1,1,6,61,0.391926156140224,0.00103819721537183,0.849726775956284,NA,1.69945355191257,1.74978395701671,0,0.770491803278688,0.375499334221038,"spec_sens",0.0895522388059701,0.3,1,1,0.770491803278688,0.229508196721311,0,0.791044776119403,0.375499334221038,0.461538461538461,0.3
"6",0.03253067,0.02751071,0.02751071,0.06582026,0.02832727,0.02797276,"L_neivai","svme",1,1,6,61,0.549697146405683,1.45119698528059e-06,0.945355191256831,NA,1.89071038251366,1.80450405304595,0,0.819672131147541,0.633879781420766,"spec_sens",0.0895522388059701,0.352941176470588,1,1,0.819672131147541,0.180327868852459,0,0.835820895522388,0.448765893792072,0.521739130434783,0.352941176470588
"7",0.03357793,0.03357793,0.02589845,0.08952242,0.02986433,0.02615784,"L_neivai","svmk",1,1,6,61,0.39236581667542,0.00102355540749601,0.909836065573771,NA,1.81967213114754,1.69409211053187,0,0.751366120218579,0.577731092436975,"spec_sens",0.0895522388059701,0.5,0.982456140350877,0.833333333333333,0.918032786885246,0.0819672131147541,0.166666666666667,0.91044776119403,0.577731092436975,0.625,0.454545454545455
"8",0.10899091,0.03626364,0.03626364,0.07262727,0.07262727,0.07262727,"L_neivai","bioclim",1,10,6,61,0.277179222675823,0.0231587890394533,0.853825136612022,NA,1.70765027322404,1.68810662036169,0,0.704918032786885,0.401191658391261,"spec_sens",0.0895522388059701,0.25,1,1,0.704918032786885,0.295081967213115,0,0.73134328358209,0.299651567944251,0.4,0.25
"9",1.32885232,-0.90056639,-0.90056639,0.09651515,0.09651515,-0.89186072,"L_neivai","brt",1,10,6,61,0.423560024184315,0.000355028007195865,0.896174863387978,NA,1.79234972677596,1.67321696173301,0,0.639344262295082,0.633879781420766,"spec_sens",0.0895522388059701,0.214285714285714,1,1,0.639344262295082,0.360655737704918,0,0.671641791044776,0.240988671472709,0.352941176470588,0.214285714285714
"10",0.17406434,0.17406434,0.0686617,0.09459337,0.12446482,0.07414428,"L_neivai","glm",1,10,6,61,0.498325294911661,1.77578009411703e-05,0.904371584699454,NA,1.80874316939891,1.59756040997333,0,0.76775956284153,0.626532887402453,"spec_sens",0.0895522388059701,0.555555555555556,0.982758620689655,0.833333333333333,0.934426229508197,0.0655737704918033,0.166666666666667,0.925373134328358,0.626532887402453,0.666666666666667,0.5
