species,lon,lat
L_longipalpis,-50.457641,-16.946697
L_longipalpis,-46.25249,-14.803994
L_longipalpis,-46.2193,-4.3379
L_longipalpis,-44.297919,-2.531886
L_longipalpis,-43.938434,-4.253841
L_longipalpis,-44.649012,-5.249656
L_longipalpis,-59.448616,-10.172524
L_longipalpis,-55.9282,-16.3114
L_longipalpis,-57.674762,-16.074096
L_longipalpis,-55.6351,-20.4828
L_longipalpis,-52.425437,-21.715288
L_longipalpis,-54.043309,-19.53526
L_longipalpis,-54.615744,-20.45803
L_longipalpis,-57.14373333,-20.14521944
L_longipalpis,-56.145845,-21.479603
L_longipalpis,-57.888482,-21.707325
L_longipalpis,-42.1545,-16.87943
L_longipalpis,-45.543632,-20.282563
L_longipalpis,-46.107752,-15.921772
L_longipalpis,-44.955194,-17.359421
L_longipalpis,-43.594457,-18.242093
L_longipalpis,-43.488735,-16.475681
L_longipalpis,-41.007115,-16.441769
L_longipalpis,-43.936762,-14.755922
L_longipalpis,-43.41614,-20.374493
L_longipalpis,-42.873165,-15.155339
L_longipalpis,-46.875419,-17.219742
L_longipalpis,-44.045884,-19.618396
L_longipalpis,-42.007735,-19.281495
L_longipalpis,-48.693736,-18.599353
L_longipalpis,-44.027948,-15.708871
L_longipalpis,-49.264501,-8.264864
L_longipalpis,-48.962299,-1.983116
L_longipalpis,-50.16037,-6.097
L_longipalpis,-48.525,-0.775
L_longipalpis,-54.694394,-2.458475
L_longipalpis,-48.55977,-6.16476
L_longipalpis,-48.951282,-2.93708
L_longipalpis,-34.9449,-6.68887
L_longipalpis,-38.152573,-7.30398
L_longipalpis,-37.641097,-8.089002
L_longipalpis,-38.571239,-8.600827
L_longipalpis,-35.571492,-8.206
L_longipalpis,-42.513378,-5.81236
L_longipalpis,-43.020645,-6.769672
L_longipalpis,-42.533333,-3.683333
L_longipalpis,-41.50006,-7.05012
L_longipalpis,-41.712373,-4.100638
L_longipalpis,-42.692285,-9.01536
L_longipalpis,-44.3494,-23.1622
L_longipalpis,-41.775064,-22.368705
L_longipalpis,-43.429224,-22.768088
L_longipalpis,-36.852875,-5.497148
L_longipalpis,-38.38642,-6.414028
L_longipalpis,-35.705605,-6.104913
L_longipalpis,-36.736852,-6.770152
L_longipalpis,-35.455293,-5.202607
L_longipalpis,-62.90319,-10.338873
L_longipalpis,-60.670533,2.816682
L_longipalpis,-59.635206,3.882978
L_longipalpis,-47.167106,-21.285
L_longipalpis,-51.170768,-22.147832
L_longipalpis,-51.10564,-21.132087
L_longipalpis,-47.57468,-23.649132
L_longipalpis,-46.529212,-22.59203
L_longipalpis,-37.048213,-10.907216
L_longipalpis,-46.946107,-12.93442
L_longipalpis,-48.108889,-10.763333
L_longipalpis,-48.990891,-10.005591
L_longipalpis,-77.248039,2.8458039999999998
L_longipalpis,-75.727319,2.485428
L_longipalpis,-75.352178,9.495513
L_longipalpis,-75.381727,3.591068
L_longipalpis,-74.736324,5.20721
L_longipalpis,-74.531723,4.176451
L_longipalpis,-79.908076,8.712532
L_longipalpis,-56.449592,-25.776062
L_longipalpis,-74.223564,-13.163874
L_longipalpis,-74.582615,-8.392839
L_longipalpis,-62.802944,10.62678
L_longipalpis,-64.502916,10.160081
L_longipalpis,-64.148681,8.642929
L_longipalpis,-69.938656,9.9794060000000009
L_longipalpis,-71.034538,10.68022
L_longipalpis,-68.691678,11.118661
L_longipalpis,-66.373584,9.856325
L_longipalpis,-67.291098,9.705608
L_longipalpis,-65.319192,8.81804
L_longipalpis,-63.975,11.058333
L_longipalpis,-68.263094,9.65019
L_whitmani,-54.6223,-26.0239
