species,lon,lat
L_flaviscutellata,-71.62364,-4.536014
L_neivai,-47.818,-24.7347
L_whitmani,-47.060156,-22.907343
L_intermedia,-42.695947,-21.876804
L_whitmani,-42.695947,-21.876804
L_whitmani,-48.203834,-5.258961
L_whitmani,-47.768112,-8.390981
L_flaviscutellata,-66.258333,0.758333
L_flaviscutellata,-63.4562,-8.7713
L_neivai,-47.000968,-23.397523
L_longipalpis,-44.180788,-17.874256
L_migonei,-46.71712,-23.56725
L_umbratilis,-57.036959,-1.075897
L_migonei,-57.036959,-1.075897
L_umbratilis,-54.719282,-2.441426
L_wellcomei,-54.719282,-2.441426
L_longipalpis,-54.71857,-2.436213
L_umbratilis,-54.71857,-2.436213
L_umbratilis,-54.717049,-2.506081
L_longipalpis,-54.694394,-2.458475
L_longipalpis,-54.305059,-2.803127
L_umbratilis,-50.176637,-6.084294
L_wellcomei,-50.176637,-6.084294
L_complexa,-49.900781,-6.07273
L_flaviscutellata,-49.900781,-6.07273
L_umbratilis,-49.900781,-6.07273
L_complexa,-49.694124,-3.82993
L_umbratilis,-49.694124,-3.82993
L_flaviscutellata,-48.4565,-1.430367
L_flaviscutellata,-60.138796,-0.793884
L_migonei,-60.138796,-0.793884
L_umbratilis,-60.138796,-0.793884
L_flaviscutellata,-59.490469,-1.926005
L_longipalpis,-47.167106,-21.285
L_migonei,-71.759283,8.327933
L_migonei,-71.421494,8.49673
L_migonei,-43.029,-22.9605
L_longipalpis,-42.5821,-22.7772
L_migonei,-42.5821,-22.7772
L_migonei,-52.425,-23.75833
L_neivai,-52.425,-23.75833
L_whitmani,-52.425,-23.75833
L_migonei,-53.8539,-27.2304
L_whitmani,-50.90344,-16.312801
L_whitmani,-48.46905556,-10.75069444
L_longipalpis,-48.285966,-15.164355
L_whitmani,-48.285966,-15.164355
L_whitmani,-48.11042,-10.763542
L_whitmani,-47.947703,-18.169573
L_whitmani,-47.335816,-15.540945
L_whitmani,-46.820409,-11.625232
L_neivai,-53.75727,-27.372167
L_intermedia,-40.53321,-20.098891
L_migonei,-53.851484,-27.232533
L_migonei,-53.75727,-27.372167
L_whitmani,-42.143707,-19.789635
L_migonei,-40.53321,-20.098891
L_umbratilis,-59.490469,-1.926005
L_longipalpis,-48.962299,-1.983116
L_flaviscutellata,-46.765754,-1.053524
L_flaviscutellata,-46.7247,-1.1049
L_flaviscutellata,-46.641646,-1.022921
L_migonei,-39.70307,-13.511388
L_whitmani,-39.70307,-13.511388
L_migonei,-39.42406,-13.470842
L_umbratilis,-63.4562,-8.7713
L_cruzi,-57.65285,-19.0395
L_migonei,-46.72201,-23.56377
L_longipalpis,-42.533333,-3.683333
L_whitmani,-42.533333,-3.683333
L_longipalpis,-42.059128,-11.808828
L_flaviscutellata,-61.145835,4.466754
L_umbratilis,-61.145835,4.466754
L_whitmani,-58.762217,-11.422018
L_umbratilis,-58.762217,-11.422018
L_umbratilis,-56.802069,-14.453725
L_umbratilis,-56.09161,-9.871723
L_migonei,-56.09161,-9.871723
L_whitmani,-56.09161,-9.871723
L_complexa,-56.09161,-9.871723
L_migonei,-55.500922,-11.858005
L_umbratilis,-55.500922,-11.858005
L_whitmani,-55.464231,-10.80409
L_migonei,-47.135423,-23.530359
L_umbratilis,-52.668973,-0.769655
L_umbratilis,-52.628854,-0.838771
L_flaviscutellata,-60.911519,2.479772
L_umbratilis,-60.911519,2.479772
L_umbratilis,-61.3075,2.553056
L_flaviscutellata,-61.3075,2.553056
L_longipalpis,-55.6351,-20.4828
L_cruzi,-55.6351,-20.4828
L_whitmani,-55.6351,-20.4828
L_migonei,-52.473041,-23.616327
L_neivai,-52.473041,-23.616327
L_whitmani,-52.473041,-23.616327
L_longipalpis,-41.712373,-4.100638
L_longipalpis,-40.898914,-3.840107
L_whitmani,-40.898914,-3.840107
L_complexa,-48.525,-0.775
L_longipalpis,-48.25744,-1.343516
L_whitmani,-67.83011,-9.97884
L_longipalpis,-40.348668,-3.688038
L_whitmani,-38.880021,-4.331205
L_longipalpis,-38.88416,-4.32254
L_migonei,-38.88416,-4.32254
L_whitmani,-38.88416,-4.32254
L_wellcomei,-38.88416,-4.32254
L_longipalpis,-38.880021,-4.331205
L_migonei,-38.880021,-4.331205
L_migonei,-56.0503,-25.4869
L_neivai,-56.0503,-25.4869
L_whitmani,-56.0503,-25.4869
L_migonei,-55.50108,-26.17744
L_neivai,-55.50108,-26.17744
L_migonei,-54.9043,-24.8264
L_neivai,-54.9043,-24.8264
L_whitmani,-54.9043,-24.8264
L_longipalpis,-43.8516,-19.889
L_whitmani,-43.8516,-19.889
L_longipalpis,-60.670533,2.816682
L_longipalpis,-60.195716,4.58544
L_longipalpis,-59.635206,3.882978
L_longipalpis,-41.012068,-19.514246
L_migonei,-41.012068,-19.514246
L_whitmani,-41.012068,-19.514246
L_longipalpis,-40.976456,-18.545546
L_longipalpis,-40.879791,-19.872348
L_migonei,-40.879791,-19.872348
L_whitmani,-40.879791,-19.872348
L_intermedia,-40.856598,-19.802508
L_longipalpis,-40.856598,-19.802508
L_migonei,-40.856598,-19.802508
L_whitmani,-40.856598,-19.802508
L_longipalpis,-40.856003,-19.22442
L_migonei,-40.856003,-19.22442
L_longipalpis,-40.736638,-18.987361
L_migonei,-40.736638,-18.987361
L_longipalpis,-40.643139,-19.725307
L_migonei,-40.643139,-19.725307
L_longipalpis,-40.5296,-19.021965
L_migonei,-40.5296,-19.021965
L_longipalpis,-40.457766,-19.252807
L_migonei,-40.457766,-19.252807
L_neivai,-52.72761,-26.740056
L_migonei,-52.72761,-26.740056
L_longipalpis,-44.249671,-2.566797
L_whitmani,-44.249671,-2.566797
L_flaviscutellata,-48.525,-0.775
L_wellcomei,-47.356962,-2.994191
L_intermedia,-44.710859,-23.219414
L_migonei,-44.710859,-23.219414
L_whitmani,-44.710859,-23.219414
L_flaviscutellata,-63.171499,-8.710282
L_umbratilis,-63.171499,-8.710282
L_intermedia,-39.043184,-14.79332
L_migonei,-39.043184,-14.79332
L_whitmani,-39.043184,-14.79332
L_migonei,-64.2254,-23.3279
L_neivai,-64.2254,-23.3279
L_migonei,-64.094,-23.2152
L_neivai,-64.094,-23.2152
L_migonei,-63.8049,-22.5989
L_neivai,-63.8049,-22.5989
L_flaviscutellata,-56.839512,-14.818136
L_neivai,-44.91522,-20.17213
L_neivai,-44.893886,-20.142074
L_intermedia,-44.456226,-18.363516
L_whitmani,-56.839512,-14.818136
L_whitmani,-44.91522,-20.17213
L_flaviscutellata,-52.004963,0.903507
L_umbratilis,-52.004963,0.903507
L_umbratilis,-52.003538,0.897841
L_flaviscutellata,-48.962299,-1.983116
L_cruzi,-55.745005,-15.46057
L_complexa,-55.745005,-15.46057
L_flaviscutellata,-55.745005,-15.46057
L_longipalpis,-55.745005,-15.46057
L_umbratilis,-55.745005,-15.46057
L_whitmani,-55.745005,-15.46057
L_neivai,-47.135423,-23.530359
L_whitmani,-42.798576,-5.058808
L_whitmani,-35.4754,-8.4466
L_migonei,-66.562575,10.490221
L_flaviscutellata,-64.358333,-3.678333
L_umbratilis,-64.358333,-3.678333
L_longipalpis,-55.138056,-19.911667
L_whitmani,-55.138056,-19.911667
L_longipalpis,-74.856094100000007,5.9361393
L_flaviscutellata,-65.260556,-4.826111
L_umbratilis,-65.260556,-4.826111
L_flaviscutellata,-65.199472,-4.89825
L_umbratilis,-65.199472,-4.89825
L_flaviscutellata,-76.181274,-5.761552
L_complexa,-50.176637,-6.084294
L_flaviscutellata,-50.176637,-6.084294
L_whitmani,-50.176637,-6.084294
L_wellcomei,-50.16037,-6.097
L_flaviscutellata,-47.555915,-4.290778
L_flaviscutellata,-63.831446,-8.768892
L_flaviscutellata,-48.55977,-6.16476
L_longipalpis,-48.55977,-6.16476
L_neivai,-47.891486,-24.6124
L_intermedia,-47.879998,-24.712547
L_migonei,-52.294342,-23.435458
L_neivai,-52.294342,-23.435458
L_whitmani,-52.294342,-23.435458
L_migonei,-43.7131,-22.5966
L_whitmani,-43.7131,-22.5966
L_intermedia,-43.7131,-22.5966
L_migonei,-43.7125,-22.6106
L_whitmani,-43.7125,-22.6106
L_intermedia,-43.7125,-22.6106
L_whitmani,-47.784233,-5.177421
L_whitmani,-47.506665,-4.951377
L_whitmani,-47.479811,-5.526524
L_whitmani,-47.470092,-7.330783
L_whitmani,-47.405036,-5.453663
L_whitmani,-47.404996,-5.534456
L_whitmani,-47.382165,-6.354182
L_whitmani,-47.368936,-5.747412
L_whitmani,-47.289191,-5.441832
L_whitmani,-47.07044,-5.828563
L_whitmani,-47.032448,-6.191609
L_whitmani,-47.017225,-5.588915
L_whitmani,-46.750638,-5.557662
L_whitmani,-46.451495,-4.325948
L_whitmani,-46.186357,-6.435304
L_whitmani,-46.142396,-5.818548
L_whitmani,-44.951551,-4.750025
L_whitmani,-44.44001,-5.038448
L_whitmani,-44.330436,-4.721245
L_whitmani,-44.319948,-3.134117
L_whitmani,-44.297919,-2.531886
L_whitmani,-44.102516,-2.415075
L_whitmani,-44.098692,-2.528063
L_whitmani,-44.065848,-2.774828
L_whitmani,-44.057548,-2.555859
L_whitmani,-44.054586,-2.837797
L_whitmani,-43.88608,-4.451338
L_whitmani,-43.442443,-2.510583
L_whitmani,-43.358539,-4.861675
L_whitmani,-43.255285,-2.502721
L_whitmani,-43.014014,-4.254738
L_whitmani,-42.833728,-5.100681
L_whitmani,-42.827803,-2.750086
L_whitmani,-42.562873,-3.498485
L_whitmani,-42.276847,-2.76355
L_complexa,-50.16037,-6.097
L_flaviscutellata,-48.513187,-0.754526
L_neivai,-47.48141,-21.858363
L_neivai,-47.055701,-23.15341
L_neivai,-57.3384,-27.42803
L_neivai,-56.9067,-27.633
L_neivai,-56.67912,-27.58623
L_migonei,-56.38178,-27.61346
L_neivai,-56.38178,-27.61346
L_neivai,-55.93059,-27.40543
L_neivai,-55.88521,-27.41961
L_neivai,-55.803056,-27.461667
L_neivai,-55.5085,-27.12286
L_whitmani,-55.5085,-27.12286
L_neivai,-54.7764,-26.5705
L_neivai,-54.049846,-25.675358
L_flaviscutellata,-64.484992,10.069833
L_flaviscutellata,-59.940972,-3.004115
L_flaviscutellata,-55.78802,-14.86719
L_migonei,-71.242874,8.54934
L_longipalpis,-64.484992,10.069833
L_longipalpis,-64.148681,8.642929
L_migonei,-56.9631,-27.4148
L_neivai,-56.9631,-27.4148
L_whitmani,-56.9631,-27.4148
L_neivai,-56.8437,-27.3842
L_neivai,-56.3332,-27.3129
L_neivai,-55.8879,-27.30938
L_whitmani,-55.8879,-27.30938
L_neivai,-55.8487,-27.3106
L_migonei,-55.5616,-27.0581
L_neivai,-55.5616,-27.0581
L_whitmani,-55.5616,-27.0581
L_neivai,-55.3337,-26.8407
L_neivai,-54.7183,-26.3576
L_intermedia,-45.410818,-23.622007
L_migonei,-45.410818,-23.622007
L_intermedia,-45.40268,-23.806688
L_migonei,-45.40268,-23.806688
L_intermedia,-45.354057,-23.788653
L_migonei,-45.354057,-23.788653
L_intermedia,-45.072091,-23.435965
L_migonei,-45.072091,-23.435965
L_flaviscutellata,-48.767199,-1.885889
L_migonei,-47.555915,-4.290778
L_whitmani,-47.555915,-4.290778
L_complexa,-47.555915,-4.290778
L_umbratilis,-47.555915,-4.290778
L_whitmani,-50.964375,-21.769912
L_whitmani,-49.383974,-23.192991
L_neivai,-47.457104,-24.283929
L_whitmani,-47.000968,-23.397523
L_neivai,-46.88292,-23.360971
L_neivai,-46.555063,-23.116308
L_neivai,-45.9096,-23.1343
